CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Average_purchase_amt,Cash_advance_per_trx,Payment_to_Crlimit,Utilization,Oneoff_ratio,Installment_ratio,cluster_label
C10007,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,110.79703125,0.0,0.47068995022222226,0.046463763407407405,0.9029221507232397,0.09707784927676029,0
C10022,6369.531318,1.0,6359.95,5910.04,449.91,229.028245,1.0,0.916667,1.0,0.333333,6,92,11250.0,2077.959051,1659.775075,0.0,12,69.12989130434782,38.171374166666666,0.18470747119999997,0.5661805616000001,0.9292588778213665,0.07074112217863349,0
C10024,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13,13,9000.0,9479.043842,1425.426525,0.0,12,326.79615384615386,613.4165866153846,1.0532270935555554,0.4222390418888889,0.8131533418856732,0.1868466581143267,0
C10031,12136.21996,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10,64,13000.0,4230.323491,3292.01503,0.0,12,47.46890625,318.3583301,0.3254094993076923,0.9335553815384615,0.3335077896386121,0.6664922103613878,0
C10050,229.867179,1.0,2390.6,1402.93,987.67,0.0,1.0,0.666667,1.0,0.0,0,87,3300.0,2543.953559,175.657825,0.916667,12,27.47816091954023,0.0,0.7708950178787879,0.0696567209090909,0.5868526729691291,0.4131473270308709,0
C10059,2386.330629,1.0,5217.62,4789.09,428.53,0.0,0.916667,0.916667,0.5,0.0,0,42,7500.0,5678.729613,1311.514878,0.083333,12,124.22904761904762,0.0,0.7571639484,0.3181774172,0.91786868342271,0.08213131657729003,0
C10074,2990.422186,0.909091,4523.27,1664.09,2859.18,27296.48576,0.666667,0.5,0.583333,0.833333,27,33,7000.0,28232.69446,1107.030803,0.454545,12,137.0687878787879,1010.980954074074,4.033242065714285,0.4272031694285714,0.36789535004543167,0.6321046499545682,0
C10088,1935.362486,1.0,4915.6,4515.34,400.26,293.844792,1.0,1.0,0.333333,0.083333,1,50,9000.0,4921.066897,594.756686,0.0,12,98.31200000000001,293.844792,0.5467852107777778,0.21504027622222222,0.918573521035072,0.08142647896492798,0
C10092,8181.251131,1.0,2258.01,1318.78,939.23,5251.228934,1.0,0.75,1.0,0.75,21,60,13500.0,3021.575846,2074.581541,0.0,12,37.633500000000005,250.05852066666665,0.22382043303703705,0.6060186022962963,0.5840452433780187,0.4159547566219813,0
C10095,9381.255094,1.0,5100.07,1147.83,3952.24,370.737197,1.0,0.25,0.916667,0.083333,1,46,9000.0,6409.496345,9827.045323,0.0,12,110.87108695652174,370.737197,0.7121662605555555,1.042361677111111,0.22506161680133802,0.7749383831986619,0
C10107,3539.801912,1.0,2823.8,1540.41,1283.39,0.0,0.916667,0.916667,0.833333,0.0,0,75,5700.0,9172.788366,2103.796148,0.083333,12,37.650666666666666,0.0,1.6092611168421054,0.6210178792982456,0.5455095969969544,0.45449040300304555,0
C10114,6644.201651,1.0,4478.75,2721.59,1757.16,7205.520805,1.0,0.916667,1.0,0.583333,21,64,9000.0,10857.94321,2469.571326,0.083333,12,69.98046875,343.12003833333335,1.2064381344444444,0.7382446278888889,0.6076673178900364,0.39233268210996375,0
C10117,5322.994094,1.0,2812.2,857.12,1955.08,2510.352951,1.0,0.25,1.0,0.333333,8,81,8500.0,1509.423237,1834.031569,0.0,12,34.718518518518515,313.794118875,0.17757920435294117,0.6262345992941176,0.3047862883151981,0.695213711684802,0
C10125,8504.876253,1.0,6724.26,4100.08,2624.18,1686.599777,1.0,0.916667,1.0,0.5,10,85,17000.0,1888.756861,2167.446204,0.0,12,79.1089411764706,168.65997769999998,0.11110334476470589,0.5002868384117647,0.6097444179731301,0.39025558202686983,0
C10127,2114.158683,1.0,5580.85,0.0,5580.85,0.0,1.0,0.0,1.0,0.0,0,75,8500.0,3564.977774,630.00413,0.0,12,74.41133333333333,0.0,0.41940914988235295,0.2487245509411765,0.0,1.0,0
C10131,2392.917738,1.0,12462.44,12462.44,0.0,0.0,0.916667,0.916667,0.0,0.0,0,217,2800.0,11628.71557,2000.990921,0.0,12,57.43059907834102,0.0,4.153112703571429,0.8546134778571429,1.0,0.0,0
C10142,2494.868559,1.0,5491.79,1390.5,4101.29,0.0,1.0,0.5,1.0,0.0,0,52,17000.0,1015.311953,615.92402,0.0,12,105.61134615384616,0.0,0.059724232529411767,0.14675697405882354,0.2531961345936389,0.7468038654063611,0
C10144,19043.13856,1.0,22009.92,9449.07,12560.85,0.0,1.0,0.75,1.0,0.0,0,216,18000.0,23018.57583,18621.01331,0.0,12,101.89777777777778,0.0,1.2788097683333335,1.0579521422222222,0.4293096022157282,0.5706903977842719,0
C10149,10598.46777,1.0,2084.48,1300.48,784.0,0.0,0.666667,0.416667,0.583333,0.0,0,13,21500.0,3219.621433,3068.125648,0.0,12,160.3446153846154,0.0,0.14974983409302325,0.49295198930232553,0.6238870125882714,0.3761129874117286,0
C10150,2163.678757,1.0,5779.36,3436.53,2342.83,0.0,1.0,1.0,1.0,0.0,0,97,6500.0,4416.41268,546.439139,0.0,12,59.58103092783505,0.0,0.6794481046153846,0.33287365492307697,0.5946212037319012,0.4053787962680989,0
C10156,7679.62904,1.0,4059.93,0.0,4059.93,555.469352,0.583333,0.0,0.5,0.166667,7,14,7000.0,3685.61062,12854.9397,0.0,12,289.995,79.35276457142857,0.5265158028571428,1.0970898628571428,0.0,1.0,0
C10157,1523.911458,1.0,4075.37,3322.28,753.09,0.0,1.0,1.0,1.0,0.0,0,31,6500.0,2254.26002,329.29648,0.0,12,131.46354838709678,0.0,0.34680923384615386,0.2344479166153846,0.8152094165683117,0.18479058343168842,0
C10159,13673.07961,1.0,9792.23,3959.81,5832.42,2444.445738,1.0,0.75,1.0,0.75,26,216,20000.0,11717.30794,6042.391629,0.0,12,45.334398148148146,94.01714376923077,0.5858653970000001,0.6836539805,0.40438286273913093,0.5956171372608691,0
C10162,5837.105453,1.0,3488.49,3262.25,226.24,3303.1523,1.0,1.0,0.5,0.75,15,46,7900.0,0.0,2688.860291475047,0.0,12,75.83673913043478,220.21015333333335,0.0,0.7388741079746836,0.9351467253740158,0.06485327462598431,0
C10164,2765.748281,1.0,7283.31,5087.31,2196.0,0.0,1.0,1.0,0.666667,0.0,0,77,11000.0,14373.3929,1058.128452,0.25,12,94.58844155844156,0.0,1.3066720818181818,0.25143166190909094,0.6984887365771881,0.30151126342281187,0
C10173,595.677343,1.0,5078.14,4330.53,747.61,1424.442602,0.916667,0.666667,0.75,0.083333,1,42,15000.0,4756.654374,241.894073,0.916667,12,120.90809523809524,1424.442602,0.3171102916,0.03971182286666666,0.8527787733303925,0.14722122666960738,0
C10177,975.942008,1.0,10221.35,7141.38,3079.97,1620.685551,1.0,1.0,0.833333,0.583333,18,130,10500.0,10693.49585,347.641073,0.75,12,78.62576923076924,90.03808616666667,1.018428176190476,0.0929468579047619,0.6986728758921278,0.3013271241078722,0
C10180,11972.01104,1.0,5715.0,4685.54,1029.46,1626.351366,1.0,1.0,1.0,0.166667,3,90,14000.0,4639.513745,3192.306018,0.0,12,63.5,542.117122,0.33139383892857144,0.8551436457142857,0.8198670166229222,0.18013298337707787,0
C10184,336.799916,1.0,3535.8,1614.7,1921.1,0.0,1.0,0.416667,0.916667,0.0,0,44,20000.0,2814.231227,186.230835,1.0,12,80.35909090909091,0.0,0.14071156135000001,0.0168399958,0.45667175745234456,0.5433282425476553,0
C10202,5588.846272,1.0,3507.35,603.75,2903.6,0.0,0.916667,0.166667,0.833333,0.0,0,34,11500.0,1412.597253,1825.176503,0.0,12,103.15735294117647,0.0,0.12283454373913043,0.4859866323478261,0.17213850913082526,0.8278614908691747,0
